stan,programming_language::Stan,Stan,https://mc-stan.org/,BSD-3-Clause,true
tensorflow,---,TensorFlow,https://www.tensorflow.org/,Apache-2.0,true
typescript,programming_language::Typescript,Typescript,https://www.typescriptlang.org/,Apache-2.0,true
typespec,programming_language::Typespec,TypeSpec,https://typespec.io/,MIT,true
unity,---,Unity,https://unity.com/,Proprietary,false
unreal engine,---,Unreal Engine,https://www.unrealengine.com/,Proprietary,false
vhdl,programming_language::Vhdl,VHSIC Hardware Description Language,---,Various,false
visual basic,programming_language::Visual,VB,---,Proprietary,false
vllm,---,vLLM,https://github.com/vllm-project/vllm/,Apache-2.0,true
wasm,---,WebAssembly,https://webassembly.org/,Apache-2.0,true
