time,feedback_position_x,feedback_position_y,feedback_position_z,setpoint_speed_z,setpoint_speed_y,setpoint_speed_z
0.003873955,466.83538818359375,556.3509521484375,497.4938659667969,0,-200,0
0.007841168,466.83538818359375,556.3509521484375,497.4938659667969,0,-200,0
0.012389926,466.83551025390625,556.35107421875,497.49267578125,0,-200,0
0.016146263,466.8357849121094,556.3514404296875,497.4938659667969,0,-200,0
0.020091073,466.8356628417969,556.351318359375,497.49505615234375,0,-200,0
0.024217639,466.83587646484375,556.3515625,497.49267578125,0,-200,0
0.028112959,466.83453369140625,556.3499145507813,497.4918212890625,0,-200,0
0.032460174,466.83740234375,556.3308715820313,497.4883117675781,0,-200,0
0.036342624,466.8538818359375,556.2976684570313,497.5198974609375,0,-200,0
0.040455781,466.89215087890625,556.189208984375,497.58056640625,0,-200,0
0.044307579,466.9520263671875,556.0046997070313,497.64434814453125,0,-200,0
0.048457824,467.0205078125,555.7581176757813,497.724609375,0,-200,0
0.052418617,467.0834655761719,555.4349365234375,497.80426025390625,0,-200,0
0.056386834,467.1301574707031,555.0274658203125,497.8780822753906,0,-200,0
0.060554195,467.1268310546875,554.5625,497.8827819824219,0,-200,0
0.06453613,467.0680236816406,554.0802001953125,497.80865478515625,0,-200,0
0.068460835,466.97503662109375,553.5504150390625,497.7337341308594,0,-200,0
0.072739403,466.8941650390625,552.9274291992188,497.6734619140625,0,-200,0
0.076556945,466.8236389160156,552.2346801757813,497.58868408203125,0,-200,0
0.080594483,466.7469787597656,551.5014038085938,497.4766845703125,0,-200,0
0.084816366,466.6905212402344,550.7313842773438,497.4245910644531,0,-200,0
0.088875467,466.668701171875,549.9043579101563,497.4220886230469,0,-200,0
0.092823427,466.6737976074219,549.052978515625,497.42724609375,0,-200,0
0.096968183,466.6690673828125,548.2108764648438,497.4009704589844,0,-200,0
0.100970228,466.6690979003906,547.38525390625,497.39910888671875,0,-200,0
0.104991067,466.6711120605469,546.5560302734375,497.4206237792969,0,-200,0
0.109204805,466.6827697753906,545.7225952148438,497.4569396972656,0,-200,0
0.113437571,466.70037841796875,544.892333984375,497.4896240234375,0,-200,0
0.117093593,466.69879150390625,544.0734252929688,497.5138244628906,0,-200,0
0.121328448,466.6888732910156,543.2685546875,497.5433044433594,0,-200,0
0.125211452,466.67724609375,542.4591064453125,497.5641174316406,0,-200,0
0.129220063,466.6632080078125,541.6488647460938,497.5689697265625,0,-200,0
0.133668034,466.6385192871094,540.84375,497.55712890625,0,-200,0
0.137478675,466.60467529296875,540.046142578125,497.543701171875,0,-200,0
0.141287966,466.56884765625,539.2454833984375,497.5150146484375,0,-200,0
0.145449943,466.5386962890625,538.4381103515625,497.4787292480469,0,-200,0
0.149270255,466.5150146484375,537.63330078125,497.44927978515625,0,-200,0
0.153463997,466.49383544921875,536.8223876953125,497.4173278808594,0,-200,0
0.157562155,466.4783630371094,536.01318359375,497.38427734375,0,-200,0
0.161535839,466.4546813964844,535.2062377929688,497.3577575683594,0,-200,0
0.165467361,466.426513671875,534.3976440429688,497.345947265625,0,-200,0
0.169725091,466.3971862792969,533.5921630859375,497.3388366699219,0,-200,0
0.173592816,466.37591552734375,532.7890625,497.3350524902344,0,-200,0
0.177561463,466.35638427734375,531.9789428710938,497.3244323730469,0,-200,0
0.181785957,466.3464660644531,531.1658325195313,497.3368835449219,0,-200,0
0.185817731,466.340576171875,530.3490600585938,497.3587951660156,0,-200,0
0.189698626,466.34185791015625,529.5269775390625,497.3819274902344,0,-200,0
0.193956827,466.3471374511719,528.70556640625,497.39892578125,0,-200,0
0.197769915,466.349853515625,527.8807983398438,497.409912109375,0,-200,0
0.201775392,466.3468322753906,527.0587158203125,497.4243469238281,0,-200,0
0.205960871,466.33544921875,526.2401123046875,497.42364501953125,0,-200,0
0.209910798,466.32476806640625,525.4275512695313,497.4237365722656,0,-200,0
0.213952656,466.3119201660156,524.6131591796875,497.4239501953125,0,-200,0
